,%,g,name
Name,,,Recipe1
PE,43.42,1216,Polyester
Trigonox,0.64,18,Trigonox
Zinc,2.93,82,Zinc
Nat. Filler,19.6,549,Olive stone
Calcite,10.38,291,Calcite
Fiber,23.04,645,Recell
Total,100.0,2800.0,
 ,,,
Fiber %,23.044345,,Recell
NF %,65.3836,,Olive stone
Dry %,53.018366,,
   ,,,
Name,,,Recipe2
PE,30.29,848,Polyester
Trigonox,0.45,13,Trigonox
Zinc,2.04,57,Zinc
Nat. Filler,23.96,671,Olive stone
Calcite,28.76,805,Calcite
Fiber,14.51,406,Recell
Total,100.0,2800.0,
 ,,,
Fiber %,14.506264,,Recell
NF %,45.448757,,Olive stone
Dry %,67.219752,,
   ,,,
Name,,,Recipe3
PE,29.84,835,Polyester
Trigonox,0.44,12,Trigonox
Zinc,2.01,56,Zinc
Nat. Filler,10.98,307,Olive stone
Calcite,48.98,1372,Calcite
Fiber,7.75,217,Recell
Total,100.0,2800.0,
 ,,,
Fiber %,7.753381,,Recell
NF %,18.30531,,Olive stone
Dry %,67.713556,,
   ,,,
Name,,,Recipe4
PE,50.04,1401,Polyester
Trigonox,0.74,21,Trigonox
Zinc,3.37,94,Zinc
Nat. Filler,1.95,54,Olive stone
Calcite,21.26,595,Calcite
Fiber,22.64,634,Recell
Total,100.0,2800.0,
 ,,,
Fiber %,22.642242,,Recell
NF %,8.383255,,Olive stone
Dry %,45.850945,,
   ,,,
Stock C,,3063,Calcite
Stock NF ,,1581,Olive stone
Stock F,,1902,Recell
Time,,"September 25, 2020 -- 16:13",
Author,,Martin van der Schelling,
